r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 40 224 18.22 6.861 93.116 11.776 47.628 -62.711 14.015 5.277 71.628 9.45 43.64 -57.46 30 6.992
0 40 232 19.752 7.355 101.114 12.428 49.385 -64.668 15.194 5.657 77.78 10.047 45.249 -59.252 30 7.218
0 40 240 21.27 7.845 109.043 13.045 51.02 -66.5 16.362 6.034 83.88 10.613 46.748 -60.931 30 7.428
0 40 248 23.136 8.446 118.782 13.77 52.906 -68.623 17.797 6.497 91.371 11.277 48.475 -62.877 30 7.672
0 48 0 0.589 1.644 0.102 2.971 -21.06 18.341 0.453 1.264 0.078 2.286 -19.296 16.806 30 2.437
0 48 8 0.606 1.649 0.19 2.981 -20.637 15.744 0.466 1.269 0.146 2.293 -18.909 14.426 30 2.28
0 48 16 0.634 1.658 0.337 2.998 -19.951 12.843 0.487 1.276 0.26 2.306 -18.28 11.767 30 2.104
0 48 24 0.697 1.679 0.67 3.035 -18.485 8.602 0.536 1.291 0.515 2.334 -16.937 7.882 30 1.845
0 48 32 0.789 1.708 1.149 3.088 -16.551 4.571 0.607 1.314 0.884 2.376 -15.165 4.188 30 1.605
0 48 40 0.898 1.744 1.719 3.152 -14.469 1.102 0.691 1.341 1.323 2.425 -13.258 1.009 30 1.416
0 48 48 1.044 1.791 2.478 3.237 -12.0 -2.415 0.803 1.377 1.906 2.49 -10.995 -2.212 30 1.268
0 48 56 1.234 1.852 3.474 3.348 -9.153 -6.005 0.95 1.425 2.672 2.575 -8.387 -5.502 30 1.199
0 48 64 1.477 1.93 4.738 3.489 -6.029 -9.603 1.136 1.485 3.644 2.684 -5.524 -8.799 30 1.245
0 48 72 1.754 2.02 6.186 3.651 -2.946 -12.936 1.349 1.554 4.758 2.808 -2.699 -11.852 30 1.394
0 48 80 2.092 2.129 7.952 3.848 0.289 -16.284 1.609 1.637 6.117 2.96 0.265 -14.92 30 1.627
0 48 88 2.498 2.26 10.07 4.085 3.612 -19.622 1.921 1.738 7.746 3.142 3.309 -17.979 30 1.918
0 48 96 2.97 2.412 12.536 4.36 6.921 -22.885 2.285 1.855 9.643 3.354 6.342 -20.969 30 2.241
0 48 104 3.502 2.584 15.315 4.67 10.126 -26.014 2.694 1.987 11.781 3.593 9.279 -23.836 30 2.574
